FIPS,"County, St",2013,2014,2015,2016
1001,"Autauga, AL","5,960","6,019","6,063","6,104"
1003,"Baldwin, AL","19,980","20,083","20,173","20,228"
1005,"Barbour, AL","2,415","2,408","2,398","2,386"
1007,"Bibb, AL","1,329","1,321","1,311","1,303"
1009,"Blount, AL","4,782","4,812","4,833","4,851"
1011,"Bullock, AL",902,907,911,917
1013,"Butler, AL","1,826","1,824","1,819","1,812"
1015,"Calhoun, AL","11,940","11,922","11,884","11,839"
1017,"Chambers, AL","3,139","3,120","3,100","3,078"
1019,"Cherokee, AL","2,188","2,176","2,162","2,144"
1021,"Chilton, AL","3,410","3,377","3,339","3,300"
1023,"Choctaw, AL",939,934,927,919
1025,"Clarke, AL","1,804","1,779","1,753","1,728"
1027,"Clay, AL","1,247","1,243","1,235","1,227"
1029,"Cleburne, AL",979,974,966,958
1031,"Coffee, AL","7,224","7,341","7,431","7,525"
1033,"Colbert, AL","4,828","4,787","4,740","4,693"
1035,"Conecuh, AL","1,255","1,241","1,225","1,209"
1037,"Coosa, AL","1,036","1,027","1,017","1,006"
1039,"Covington, AL","3,520","3,503","3,482","3,459"
1041,"Crenshaw, AL",945,937,926,915
1043,"Cullman, AL","7,222","7,192","7,152","7,111"
1045,"Dale, AL","7,205","7,266","7,301","7,335"
1047,"Dallas, AL","2,951","2,924","2,892","2,858"
1049,"DeKalb, AL","4,502","4,490","4,472","4,450"
1051,"Elmore, AL","9,317","9,417","9,495","9,569"
1053,"Escambia, AL","3,067","3,061","3,049","3,037"
1055,"Etowah, AL","9,099","8,998","8,887","8,772"
1057,"Fayette, AL","1,388","1,375","1,360","1,346"
1059,"Franklin, AL","1,854","1,838","1,817","1,797"
1061,"Geneva, AL","2,675","2,669","2,658","2,647"
1063,"Greene, AL",483,484,484,485
1065,"Hale, AL",921,909,897,885
1067,"Henry, AL","1,729","1,719","1,706","1,691"
1069,"Houston, AL","9,196","9,184","9,157","9,126"
1071,"Jackson, AL","4,160","4,111","4,059","4,004"
1073,"Jefferson, AL","49,489","48,464","47,408","46,365"
1075,"Lamar, AL","1,251","1,241","1,229","1,215"
1077,"Lauderdale, AL","7,927","7,877","7,818","7,755"
1079,"Lawrence, AL","2,253","2,251","2,246","2,240"
1081,"Lee, AL","11,212","11,286","11,346","11,401"
1083,"Limestone, AL","8,610","8,709","8,791","8,864"
1085,"Lowndes, AL",755,753,750,747
1087,"Macon, AL","1,675","1,656","1,635","1,613"
1089,"Madison, AL","38,441","38,878","39,245","39,594"
1091,"Marengo, AL","1,465","1,445","1,424","1,406"
1093,"Marion, AL","2,338","2,313","2,285","2,257"
1095,"Marshall, AL","7,418","7,370","7,312","7,249"
1097,"Mobile, AL","33,490","33,066","32,583","32,116"
1099,"Monroe, AL","1,579","1,564","1,548","1,531"
1101,"Montgomery, AL","19,938","19,824","19,666","19,506"
1103,"Morgan, AL","9,732","9,693","9,639","9,583"
1105,"Perry, AL",726,729,730,731
1107,"Pickens, AL","1,563","1,557","1,547","1,537"
1109,"Pike, AL","2,348","2,343","2,332","2,321"
1111,"Randolph, AL","1,793","1,780","1,765","1,748"
1113,"Russell, AL","5,341","5,365","5,374","5,384"
1115,"St. Clair, AL","7,789","7,853","7,911","7,964"
1117,"Shelby, AL","14,510","14,579","14,637","14,688"
1119,"Sumter, AL",713,714,713,712
1121,"Talladega, AL","7,275","7,208","7,132","7,055"
1123,"Tallapoosa, AL","3,629","3,575","3,523","3,466"
1125,"Tuscaloosa, AL","14,261","14,151","14,023","13,898"
1127,"Walker, AL","5,932","5,952","5,967","5,977"
1129,"Washington, AL","1,527","1,544","1,562","1,574"
1131,"Wilcox, AL",629,626,623,619
1133,"Winston, AL","1,887","1,883","1,873","1,866"
2013,"Aleutians East Borough, AK",156,151,147,142
